city,year,weekofyear,total_cases
sj,2013,7,16
sj,2013,8,13
sj,2013,9,16
sj,2013,10,18
sj,2013,11,18
sj,2013,12,20
sj,2013,13,19
sj,2013,14,12
sj,2013,15,19
sj,2013,16,23
sj,2013,17,19
iq,2010,26,3
iq,2010,27,3
iq,2010,28,17
iq,2010,29,10
iq,2010,30,1
iq,2010,31,0
iq,2010,32,0
iq,2010,33,-6
iq,2010,34,-7
iq,2010,35,7
iq,2010,36,13
iq,2010,37,8
iq,2010,38,1
iq,2010,39,2
iq,2010,40,2
iq,2010,41,0
iq,2010,42,-6
iq,2010,43,21
iq,2010,44,24
iq,2010,45,18
iq,2010,46,6
iq,2010,47,21
iq,2010,48,7
iq,2010,49,12
iq,2010,50,12
iq,2010,51,8
iq,2011,52,8
iq,2011,1,3
iq,2011,2,9
iq,2011,3,11
iq,2011,4,8
iq,2011,5,13
iq,2011,6,9
iq,2011,7,6
iq,2011,8,14
iq,2011,9,14
iq,2011,10,6
iq,2011,11,9
iq,2011,12,10
iq,2011,13,21
iq,2011,14,11
iq,2011,15,7
iq,2011,16,13
iq,2011,17,14
iq,2011,18,22
iq,2011,19,4
iq,2011,20,11
iq,2011,21,5
iq,2011,22,-1
iq,2011,23,10
iq,2011,24,5
iq,2011,25,0
iq,2011,26,8
iq,2011,27,3
iq,2011,28,-2
iq,2011,29,-6
iq,2011,30,-11
iq,2011,31,-6
iq,2011,32,-6
iq,2011,33,-1
iq,2011,34,-2
iq,2011,35,-5
iq,2011,36,-1
iq,2011,37,7
iq,2011,38,2
iq,2011,39,6
iq,2011,40,7
iq,2011,41,8
iq,2011,42,25
iq,2011,43,5
iq,2011,44,8
iq,2011,45,15
iq,2011,46,19
iq,2011,47,13
iq,2011,48,16
iq,2011,49,12
iq,2011,50,14
iq,2011,51,14
iq,2012,52,13
iq,2012,1,13
iq,2012,2,7
iq,2012,3,16
iq,2012,4,7
iq,2012,5,11
iq,2012,6,15
iq,2012,7,3
iq,2012,8,6
iq,2012,9,4
iq,2012,10,12
iq,2012,11,8
iq,2012,12,7
iq,2012,13,15
iq,2012,14,9
iq,2012,15,8
iq,2012,16,13
iq,2012,17,14
iq,2012,18,4
iq,2012,19,1
iq,2012,20,12
iq,2012,21,-4
iq,2012,22,0
iq,2012,23,4
iq,2012,24,-4
iq,2012,25,-9
iq,2012,26,-2
iq,2012,27,-12
iq,2012,28,9
iq,2012,29,-2
iq,2012,30,5
iq,2012,31,-5
iq,2012,32,0
iq,2012,33,-6
iq,2012,34,0
iq,2012,35,10
iq,2012,36,2
iq,2012,37,-6
iq,2012,38,-4
iq,2012,39,0
iq,2012,40,5
iq,2012,41,12
iq,2012,42,5
iq,2012,43,15
iq,2012,44,12
iq,2012,45,19
iq,2012,46,12
iq,2012,47,19
iq,2012,48,29
iq,2012,49,13
iq,2012,50,21
iq,2012,51,20
iq,2013,1,18
iq,2013,2,4
iq,2013,3,9
iq,2013,4,15
iq,2013,5,11
iq,2013,6,10
iq,2013,7,8
iq,2013,8,13
iq,2013,9,1
iq,2013,10,9
iq,2013,11,4
iq,2013,12,17
iq,2013,13,14
iq,2013,14,4
iq,2013,15,4
iq,2013,16,23
iq,2013,17,10
iq,2013,18,-2
iq,2013,19,12
iq,2013,20,12
iq,2013,21,10
iq,2013,22,3
iq,2013,23,4
iq,2013,24,6
iq,2013,25,-10
iq,2013,26,-4
